Date,Dividends
2011-01-20,8.700000
2008-09-03,4.400000
2008-06-04,4.000000
2008-03-05,4.000000
2007-12-05,4.000000
2007-09-05,4.000000
2007-05-30,3.300000
2007-02-28,3.300000
2006-11-29,3.300000
2006-08-30,3.300000
2006-05-31,3.000000
2006-03-01,3.000000
2005-11-30,3.000000
2005-08-31,3.000000
2005-06-01,2.500000
2005-03-02,2.500000
2004-12-01,1.500000
2004-09-01,1.500000
2004-06-02,1.500000
2004-03-03,1.300000
2003-12-03,1.300000
2003-09-03,1.300000
2003-06-04,0.940000
2003-03-05,0.940000
2002-12-04,0.960000
2002-09-04,0.940000
2002-06-05,0.860000
2002-02-27,0.840000
2001-12-05,0.840000
2001-08-07,0.840000
2001-05-30,0.740000
2001-02-28,0.740000
2000-11-29,0.740000
2000-08-30,0.740000
2000-05-31,0.666600
2000-03-01,0.666600
