Date,Dividends
2013-07-02,0.230000
2013-04-03,0.200000
2013-01-02,0.200000
2012-10-03,0.200000
2012-07-03,0.200000
2012-04-03,0.200000
2012-01-04,0.180000
2011-10-05,0.180000
2011-06-29,0.180000
2011-04-06,0.180000
2011-01-05,0.180000
2010-10-06,0.180000
2010-06-30,0.180000
2010-03-30,0.180000
2010-01-07,0.180000
2009-09-30,0.180000
2009-06-30,0.180000
2009-04-01,0.180000
2009-01-07,0.180000
2008-10-01,0.180000
2008-07-09,0.180000
2008-04-09,0.180000
2008-01-02,0.180000
2007-10-03,0.150000
2007-07-03,0.150000
2007-04-03,0.150000
2007-01-03,0.150000
2006-10-04,0.150000
2006-07-05,0.150000
2006-04-05,0.120000
2006-01-04,0.120000
2005-10-05,0.120000
2005-10-03,0.000000
2005-06-29,0.105040
2005-03-30,0.105040
2005-01-05,0.105040
2004-10-06,0.105040
2004-06-30,0.087530
2004-03-31,0.087530
2003-12-30,0.087530
2003-10-01,0.087530
2003-07-01,0.087530
2003-04-02,0.070020
2002-12-31,0.070020
2002-10-02,0.070020
2002-07-02,0.070020
2002-04-03,0.070020
2002-01-02,0.070020
2001-10-03,0.070020
2001-07-03,0.070020
2001-04-04,0.070020
2001-01-03,0.070020
2000-10-04,0.070020
2000-07-05,0.070020
2000-04-20,0.070020
2000-01-05,0.065650
