Date,Dividends
2013-02-27,0.010000
2012-12-05,0.010000
2012-09-05,0.010000
2012-05-30,0.010000
2012-02-29,0.010000
2011-11-30,0.010000
2011-08-31,0.010000
2011-06-01,0.010000
2011-03-02,0.010000
2010-12-01,0.010000
2010-09-01,0.010000
2010-06-02,0.010000
2010-03-03,0.010000
2009-12-02,0.010000
2009-09-02,0.010000
2009-06-03,0.010000
2009-03-04,0.010000
2008-12-03,0.320000
2008-09-03,0.640000
2008-06-04,0.640000
2008-03-05,0.640000
2007-12-05,0.640000
2007-09-05,0.640000
2007-05-30,0.560000
2007-02-28,0.560000
2006-11-29,0.560000
2006-08-30,0.560000
2006-05-31,0.500000
2006-03-01,0.500000
2005-11-30,0.500000
2005-08-31,0.500000
2005-06-01,0.450000
2005-03-02,0.450000
2004-12-01,0.450000
2004-09-01,0.450000
2004-06-02,0.400000
2004-03-03,0.400000
2003-12-03,0.400000
2003-09-03,0.400000
2003-06-04,0.320000
2003-03-05,0.320000
2002-12-04,0.320000
2002-09-04,0.300000
2002-06-05,0.300000
2002-02-27,0.300000
2001-12-05,0.300000
2001-09-05,0.280000
2001-05-30,0.280000
2001-02-28,0.280000
2000-11-29,0.280000
2000-08-30,0.250000
2000-05-31,0.250000
2000-03-01,0.250000
