Date,Dividends
2013-08-15,1.000000
2013-05-15,1.000000
2013-02-13,0.900000
2012-11-14,0.900000
2012-08-15,0.900000
2012-05-16,0.900000
2012-02-15,0.810000
2011-11-16,0.810000
2011-08-17,0.780000
2011-05-17,0.780000
2011-02-14,0.720000
2010-11-16,0.720000
2010-08-17,0.720000
2010-05-17,0.720000
2010-02-12,0.680000
2009-11-16,0.680000
2009-08-17,0.680000
2009-05-15,0.650000
2009-02-12,0.650000
2008-11-14,0.650000
2008-08-15,0.650000
2008-05-15,0.650000
2008-02-13,0.580000
2007-11-14,0.580000
2007-08-15,0.580000
2007-05-16,0.580000
2007-02-14,0.520000
2006-11-15,0.520000
2006-08-16,0.520000
2006-05-17,0.520000
2006-02-14,0.450000
