Date,Dividends
2013-07-08,0.150000
2013-04-08,0.150000
2012-12-28,0.125000
2012-10-05,0.125000
2012-06-29,0.125000
2012-04-03,0.125000
2011-12-30,0.113000
2011-10-07,0.113000
2011-07-01,0.113000
2011-04-04,0.113000
2011-01-03,0.100000
2010-10-08,0.100000
2010-07-02,0.100000
2010-04-05,0.100000
2010-01-04,0.085000
2009-10-09,0.085000
2009-07-06,0.085000
2009-04-06,0.085000
2009-01-05,0.085000
2008-10-09,0.085000
2008-07-03,0.085000
2008-04-04,0.085000
2008-01-07,0.080000
2007-10-12,0.080000
2007-07-06,0.080000
2007-04-05,0.080000
2006-12-29,0.080000
2006-10-05,0.080000
2006-06-30,0.080000
2006-03-31,0.080000
