Date,Dividends
2013-08-05,0.225000
2013-05-03,0.225000
2013-02-05,0.225000
2012-11-05,0.225000
2012-08-03,0.225000
2012-05-03,0.210000
2012-02-03,0.210000
2011-11-03,0.210000
2011-08-03,0.210000
2011-05-04,0.181000
2011-02-03,0.181000
2010-11-03,0.158000
2010-08-04,0.158000
2010-05-05,0.158000
2010-02-03,0.158000
2009-11-04,0.140000
2009-08-05,0.140000
2009-05-05,0.140000
2009-02-04,0.140000
2008-11-05,0.140000
2008-08-05,0.140000
2008-05-05,0.140000
2008-02-05,0.128000
2007-11-05,0.113000
2007-08-03,0.113000
2007-05-03,0.113000
2007-02-05,0.113000
2006-11-03,0.100000
2006-08-03,0.100000
2006-05-03,0.100000
2006-02-03,0.100000
