Date,Dividends
2013-08-23,0.660000
2013-05-23,0.660000
2013-02-22,0.610000
2012-11-23,0.610000
2012-08-24,0.610000
2012-05-24,0.610000
2012-02-24,0.570000
2011-11-25,0.570000
2011-08-26,0.570000
2011-05-26,0.570000
2011-02-25,0.540000
2010-11-26,0.540000
2010-08-27,0.540000
2010-05-27,0.540000
2010-02-19,0.490000
2009-11-20,0.490000
2009-08-21,0.490000
2009-05-21,0.490000
2009-02-20,0.460000
2008-11-21,0.460000
2008-08-22,0.460000
2008-05-22,0.460000
2008-02-22,0.415000
2007-11-23,0.415000
2007-08-24,0.415000
2007-05-24,0.415000
2007-02-23,0.375000
2006-11-24,0.375000
2006-08-25,0.375000
2006-05-25,0.375000
2006-02-24,0.330000
