Date,Dividends
2013-08-29,0.770000
2013-05-30,0.770000
2013-02-27,0.770000
2012-11-29,0.770000
2012-08-30,0.700000
2012-05-31,0.700000
2012-02-28,0.700000
2011-11-29,0.700000
2011-08-30,0.610000
2011-05-27,0.610000
2011-02-25,0.610000
2010-11-29,0.610000
2010-08-30,0.550000
2010-05-27,0.550000
2010-02-25,0.550000
2009-11-27,0.550000
2009-08-28,0.500000
2009-06-04,0.500000
2009-02-26,0.500000
2008-11-26,0.500000
2008-08-28,0.375000
2008-06-05,0.375000
2008-02-28,0.375000
2007-11-13,1.500000
2006-11-13,1.000000
