Date,Dividends
2013-07-12,0.316000
2013-04-12,0.316000
2013-01-14,0.316000
2012-10-15,0.316000
2012-07-13,0.316000
2012-04-18,0.316000
2012-01-18,0.316000
2011-10-19,0.316000
2011-07-13,0.316000
2011-04-13,0.316000
2011-01-12,0.316000
2010-10-13,0.316000
2010-07-14,0.316000
2010-04-14,0.316000
2010-01-13,0.316000
2009-10-14,0.316000
2009-07-08,0.316000
2009-04-07,0.316000
2009-01-14,0.316000
2008-10-15,0.316000
2008-07-09,0.275000
2008-04-09,0.275000
2008-01-09,0.275000
2007-10-11,0.275000
2007-07-11,0.238000
2007-04-11,0.238000
2007-01-10,0.238000
2006-10-11,0.238000
2006-07-12,0.208000
2006-04-11,0.208000
2006-01-11,0.208000
