Date,Dividends
2013-09-06,0.500000
2013-06-06,0.500000
2013-03-06,0.460000
2012-12-06,0.460000
2012-09-06,0.460000
2012-06-06,0.460000
2012-03-07,0.410000
2011-12-07,0.410000
2011-09-07,0.410000
2011-06-08,0.410000
2011-03-08,0.360000
2010-12-08,0.360000
2010-09-08,0.360000
2010-06-08,0.360000
2010-03-08,0.330000
2009-12-08,0.330000
2009-09-08,0.300000
2009-06-08,0.300000
2009-03-06,0.300000
2008-12-08,0.300000
2008-09-08,0.300000
2008-06-06,0.300000
2008-03-06,0.290000
2007-12-06,0.290000
2007-09-06,0.290000
2007-06-06,0.290000
2007-03-07,0.260000
2006-12-06,0.260000
2006-09-06,0.260000
2006-06-07,0.260000
2006-03-08,0.230000
