Date,Dividends
2013-08-14,0.535000
2013-05-15,0.535000
2013-02-13,0.535000
2012-11-14,0.535000
2012-08-15,0.535000
2012-05-16,0.480000
2012-02-15,0.480000
2011-11-16,0.480000
2011-08-17,0.480000
2011-05-18,0.480000
2011-02-16,0.425000
2010-11-17,0.425000
2010-08-18,0.425000
2010-05-12,0.425000
2010-02-17,0.425000
2009-11-18,0.385000
2009-08-19,0.385000
2009-05-13,0.385000
2009-02-18,0.385000
2008-11-12,0.385000
2008-08-13,0.320000
2008-05-14,0.320000
2008-02-13,0.320000
2007-11-14,0.320000
2007-08-15,0.320000
2007-05-16,0.265000
2007-02-14,0.265000
2006-11-15,0.265000
2006-08-16,0.265000
2006-05-17,0.265000
2006-02-15,0.220000
2005-11-16,0.220000
2005-08-17,0.220000
2005-05-18,0.220000
2005-02-16,0.220000
2004-11-17,0.175000
2004-08-18,0.175000
2004-05-19,0.175000
2004-02-18,0.175000
2003-11-12,0.175000
2003-08-20,0.135000
2003-05-14,0.135000
2003-02-12,0.122500
2002-11-13,0.122500
2002-08-21,0.122500
2002-05-15,0.122500
2002-02-13,0.122500
2001-11-14,0.112500
2001-08-22,0.112500
2001-05-16,0.112500
2001-02-14,0.112500
2000-11-15,0.112500
2000-08-23,0.100000
2000-05-17,0.100000
2000-02-16,0.100000
