Date,Dividends
2013-08-07,0.470000
2013-05-08,0.470000
2013-03-08,0.470000
2012-12-05,0.398000
2012-08-08,0.398000
2012-05-09,0.398000
2012-03-08,0.398000
2011-12-07,0.365000
2011-08-10,0.365000
2011-05-11,0.365000
2011-03-09,0.365000
2010-12-08,0.303000
2010-08-11,0.303000
2010-05-12,0.303000
2010-03-10,0.303000
2009-12-09,0.273000
2009-08-12,0.273000
2009-05-13,0.273000
2009-03-11,0.273000
2008-12-11,0.238000
2008-08-13,0.238000
2008-05-14,0.238000
2008-03-12,0.238000
2007-12-12,0.220000
2007-08-15,0.220000
2007-05-16,0.220000
2007-03-14,0.220000
2006-12-13,0.168000
2006-08-16,0.168000
2006-05-17,0.168000
2006-03-15,0.168000
